Date,RefRate,Savings12M
2007-08-01,8.00,9.60
2007-09-01,8.00,9.40
2007-10-01,8.00,9.20
2007-11-01,8.00,9.00
2007-12-01,8.00,8.80
2008-01-01,8.00,9.00
2008-02-01,8.00,9.50
2008-03-01,8.00,10.00
2008-04-01,12.00,11.00
2008-05-01,12.00,12.00
2008-06-01,15.00,13.50
2008-07-01,15.00,15.00
2008-08-01,15.00,16.50
2008-09-01,14.00,16.00
2008-10-01,14.00,15.50
2008-11-01,13.00,15.00
2008-12-01,10.00,14.00
2009-01-01,10.00,13.00
2009-02-01,8.00,12.00
2009-03-01,8.00,11.00
2009-04-01,8.00,10.50
2009-05-01,8.00,10.00
2009-06-01,8.00,9.50
2009-07-01,8.00,9.00
2009-08-01,8.00,8.80
2009-09-01,8.00,8.60
2009-10-01,8.00,8.40
2009-11-01,8.00,8.20
2009-12-01,8.00,8.00
2010-01-01,8.00,11.00
2010-02-01,8.00,11.20
2010-03-01,8.00,11.40
2010-04-01,8.00,11.60
2010-05-01,8.00,11.80
2010-06-01,9.00,12.00
2010-07-01,9.00,12.20
2010-08-01,9.00,12.40
2010-09-01,9.00,12.60
2010-10-01,9.00,12.80
2010-11-01,11.00,13.00
2010-12-01,11.00,13.50
2011-01-01,12.00,14.00
2011-02-01,12.00,14.50
2011-03-01,13.00,15.00
2011-04-01,14.00,16.00
2011-05-01,15.00,17.00
2011-06-01,15.00,17.50
2011-07-01,15.00,18.00
2011-08-01,15.00,18.50
2011-09-01,15.00,18.00
2011-10-01,15.00,17.50
2011-11-01,15.00,17.00
2011-12-01,15.00,16.50
2012-01-01,15.00,16.00
2012-02-01,14.00,15.50
2012-03-01,14.00,15.00
2012-04-01,13.00,14.50
2012-05-01,13.00,14.00
2012-06-01,12.00,13.50
2012-07-01,11.00,13.00
2012-08-01,10.00,12.50
2012-09-01,10.00,12.00
2012-10-01,9.00,11.50
2012-11-01,9.00,11.00
2012-12-01,9.00,10.50
2013-01-01,9.00,10.00
2013-02-01,9.00,9.80
2013-03-01,8.00,9.60
2013-04-01,8.00,9.40
2013-05-01,8.00,9.20
2013-06-01,7.00,9.00
2013-07-01,7.00,8.80
2013-08-01,7.00,8.60
2013-09-01,7.00,8.40
2013-10-01,7.00,8.20
2013-11-01,7.00,8.00
2013-12-01,7.00,7.80
2014-01-01,7.00,7.60
2014-02-01,6.50,7.40
2014-03-01,6.50,7.20
2014-04-01,6.50,7.00
2014-05-01,6.50,6.80
2014-06-01,6.50,6.60
2014-07-01,6.50,6.40
2014-08-01,6.50,6.20
2014-09-01,6.50,6.00
2014-10-01,6.50,5.80
2014-11-01,6.50,5.60
2014-12-01,6.50,5.50
2015-01-01,6.50,5.50
2015-02-01,6.50,5.50
2015-03-01,6.50,5.50
2015-04-01,6.50,5.50
2015-05-01,6.50,5.50
2015-06-01,6.50,5.50
2015-07-01,6.25,5.50
2015-08-01,6.50,5.50
2015-09-01,6.50,5.50
2015-10-01,6.50,5.50
2015-11-01,6.50,5.50
2015-12-01,6.50,5.50
2016-01-01,6.50,5.50
2016-02-01,6.50,5.50
2016-03-01,6.50,5.60
2016-04-01,6.50,5.70
2016-05-01,6.50,5.80
2016-06-01,6.50,5.90
2016-07-01,6.50,6.00
2016-08-01,6.50,6.10
2016-09-01,6.50,6.20
2016-10-01,6.50,6.30
2016-11-01,6.50,6.40
2016-12-01,6.50,6.50
2017-01-01,6.50,6.60
2017-02-01,6.50,6.70
2017-03-01,6.50,6.80
2017-04-01,6.50,6.80
2017-05-01,6.50,6.80
2017-06-01,6.50,6.80
2017-07-01,6.25,6.70
2017-08-01,6.25,6.60
2017-09-01,6.25,6.50
2017-10-01,6.25,6.40
2017-11-01,6.25,6.30
2017-12-01,6.25,6.20
2018-01-01,6.25,6.20
2018-02-01,6.25,6.20
2018-03-01,6.25,6.30
2018-04-01,6.25,6.40
2018-05-01,6.25,6.50
2018-06-01,6.25,6.60
2018-07-01,6.25,6.70
2018-08-01,6.25,6.80
2018-09-01,6.25,6.90
2018-10-01,6.25,7.00
2018-11-01,6.25,7.10
2018-12-01,6.25,7.20
2019-01-01,6.25,7.30
2019-02-01,6.25,7.40
2019-03-01,6.25,7.50
2019-04-01,6.25,7.50
2019-05-01,6.25,7.50
2019-06-01,6.25,7.50
2019-07-01,6.25,7.50
2019-08-01,6.25,7.50
2019-09-01,6.25,7.50
2019-10-01,6.25,7.50
2019-11-01,6.25,7.50
2019-12-01,6.00,7.50
2020-01-01,6.00,7.50
2020-02-01,6.00,7.50
2020-03-01,5.00,6.50
2020-04-01,5.00,6.00
2020-05-01,4.50,5.50
2020-06-01,4.00,5.00
2020-07-01,4.00,5.00
2020-08-01,4.00,5.00
2020-09-01,4.00,5.00
2020-10-01,4.00,5.00
2020-11-01,4.00,5.00
2020-12-01,4.00,5.00
2021-01-01,4.00,5.00
2021-02-01,4.00,5.00
2021-03-01,4.00,5.00
2021-04-01,4.00,5.00
2021-05-01,4.00,5.00
2021-06-01,4.00,5.00
2021-07-01,4.00,5.00
2021-08-01,4.00,5.00
2021-09-01,4.00,5.00
2021-10-01,4.00,5.00
2021-11-01,4.00,5.00
2021-12-01,4.00,5.00
2022-01-01,4.00,5.00
2022-02-01,4.00,5.00
2022-03-01,4.00,5.00
2022-04-01,4.00,5.00
2022-05-01,4.00,5.20
2022-06-01,4.00,5.40
2022-07-01,4.00,5.60
2022-08-01,4.00,5.80
2022-09-01,5.00,6.00
2022-10-01,6.00,7.00
2022-11-01,6.00,7.50
2022-12-01,6.00,8.00
2023-01-01,6.00,8.50
2023-02-01,6.00,8.20
2023-03-01,5.50,7.80
2023-04-01,5.00,7.40
2023-05-01,5.00,7.00
2023-06-01,4.50,6.60
2023-07-01,4.50,6.50
2023-08-01,4.50,6.50
2023-09-01,4.50,6.50
2023-10-01,4.50,6.50
2023-11-01,4.50,6.50
2023-12-01,4.50,6.50
2024-01-01,4.50,5.00
2024-02-01,4.50,5.00
2024-03-01,4.50,5.00
2024-04-01,4.50,5.00
2024-05-01,4.50,5.00
2024-06-01,4.50,5.00
2024-07-01,4.50,4.80
2024-08-01,4.50,4.80
2024-09-01,4.50,4.90
2024-10-01,4.50,5.00
2024-11-01,4.50,5.20
2024-12-01,4.50,5.30
2025-01-01,4.50,5.40
2025-02-01,4.50,5.50
2025-03-01,4.50,5.60
2025-04-01,4.50,5.70
2025-05-01,4.50,5.80
2025-06-01,4.50,5.90
2025-07-01,4.50,6.00
2025-08-01,4.50,6.10
2025-09-01,4.50,6.20
2025-10-01,4.50,6.30
2025-11-01,4.50,6.40
2025-12-01,4.50,6.50
